determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,split,gen_target_y@1,fidelity_score@1,count,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{6},0.08,100,0.0,0.0,0.0,0.59,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{7},0.43,100,0.39,0.34,0.3,1.0,0.67,0.54,0.44
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{8},0.21,100,0.07,0.01,0.0,0.6,0.16,0.01,0.0
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{9},0.14,100,0.03,0.0,0.0,0.65,0.21,0.0,0.0
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{0},0.5,100,0.49,0.35,0.29,1.0,0.7,0.54,0.4
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{1},0.32,100,0.27,0.18,0.11,1.0,0.61,0.34,0.17
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{2},0.28,100,0.17,0.15,0.11,0.9,0.39,0.31,0.17
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{3},0.6,100,0.46,0.4,0.28,1.0,0.56,0.43,0.33
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{5},0.33,100,0.18,0.07,0.01,1.0,0.41,0.18,0.01
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{6},0.11235955056179775,89,0.0,0.0,0.0,0.797752808988764,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{0},0.53,100,0.53,0.38,0.32,1.0,0.74,0.54,0.44
